白內障,['cataract'],['眼科部'],['眼'],"['視力不穩定', '視力模糊', '複視', '畏光', '夜間炫光', '物體明暗對比難分辨', '色調改變', '物體顏色變暗', '近視度數逐年大增', '伸手不見五指']",https://health.udn.com/disease/sole/288
青光眼,['Glaucoma'],['眼科部'],['眼'],"['眼睛痛', '發紅', '同側頭痛', '噁心', '視力模糊', '視覺範圍縮小', '嘔吐']",https://health.udn.com/disease/sole/289
口臭,['Halitosis'],['牙科部'],['口腔'],"['嘴臭', '嘴苦', '口乾舌燥', '髮乾', '牙齦腫痛', '發燒', '舌苔', '腸胃脹氣', '消化不良', '胸悶', '便祕', '頻尿', '胃痛', '煩躁', '失眠', '疲倦']",https://health.udn.com/disease/sole/192
視網膜剝離,['retinal detachment'],['眼科部'],['眼'],"['視力模糊', '眼前出現黑點', '眼前異常閃光', '視野缺損']",https://health.udn.com/disease/sole/292
鼻竇炎,['Sinusitis'],['耳鼻喉部'],['鼻'],"['頭痛', '鼻塞', '發燒', '流黃鼻涕', '咳嗽', '鼻涕倒流']",https://health.udn.com/disease/sole/61689
口腔癌,['Oral cancer'],['牙科部'],['口腔'],"['口腔黏膜變白', '口腔出現紅白斑或紅斑', '口腔腫塊', '口腔潰瘍久不癒合', '口腔不明出血', '頸部硬塊', '舌頭知覺喪失', '舌側緣出現周圍變硬的腫塊或潰瘍']",https://health.udn.com/disease/sole/63998
高血脂,['Hyperlipidemia'],['內科部'],['血液'],"['血濁', '黃色瘤', '黃斑瘤', '頭暈', '目眩', '胸悶', '嗜睡', '心悸', '頭痛', '氣短', '乏力', '手腳麻木']",https://health.udn.com/disease/sole/174
心臟病,['heart disease'],['基因醫學部'],['心臟'],"['胸痛', '心悸', '氣喘', '呼吸困難', '疲倦', '頭暈', '昏厥', '水腫', '活動量下降', '咳血', '腹痛', '發紺', '盜汗', '左肩疼痛', '背痛', '咳嗽']",https://health.udn.com/disease/sole/183
高血壓,"['Hypertension', ' H/T', ' HTN']",['內科部'],"['心臟', '血管']","['頭重', '暈眩', '頭痛', '流鼻血', '耳鳴', '眼花', '失眠', '心悸', '疲累', '肩膀痠痛', '無精打采', '噁心', '嘔吐', '抽搐', '昏迷']",https://health.udn.com/disease/sole/187
肝癌,['Liver Cancer'],['外科部'],['肝'],"['肝區疼痛', '乏力', '黃疸', '腹水', '體重減輕', '食慾減退', '上腹悶脹', '噁心嘔吐', '腹瀉', '咳嗽', '咳血', '發燒', '胸痛', '呼吸困難']",https://health.udn.com/disease/sole/63973
鼻咽癌,['Nasopharyngeal Carcinoma'],['耳鼻喉部'],['鼻'],"['頭頸部腫大', '單側耳塞', '持續性耳鳴', '聽力障礙', '單側鼻塞或鼻涕增多', '頭痛', '口鼻不明原因滲血', '鼻腔蓄膿', '眼球內斜', '複視', '視力模糊', '臉部知覺麻痺']",https://health.udn.com/disease/sole/63984
大腸癌,['Colorectal cancer'],['外科部'],['大腸'],"['下消化道出血', '排便習慣改變', '便秘', '大便解不乾淨感', '大便變細', '大便有黏液', '腹痛', '腹部腫塊', '貧血', '血便']",https://health.udn.com/disease/sole/63985
肺癌,['Lung cancer'],['內科部'],['肺'],"['咳嗽', '咳血', '厭食', '呼吸困難', '肋膜積水', '聲音嘶啞', '吞嚥困難', '上腔靜脈症候群', '手臂疼痛', '手臂無力', '頭痛', '嘔吐', '視覺障礙', '骨頭疼痛', '體重減輕']",https://health.udn.com/disease/sole/63988
子宮頸癌,['Cervical Cancer'],['婦產部'],['子宮'],"['陰道出血', '分泌物增多']",https://health.udn.com/disease/sole/63990
子宮內膜癌,['carcinoma of the endometrium'],['婦產部'],['子宮'],"['停經後出血', '異常子宮出血', '腹部疼痛', '月經不規則', '子宮積膿', '貧血']",https://health.udn.com/disease/sole/63991
乳癌,['Breast cancer'],['腫瘤醫學部'],['乳房'],"['乳房腫塊', '乳腺疼痛', '乳頭流液', '乳頭出血', '乳頭凹陷', '乳房外型改變', '乳房皮膚呈橘皮組織', '乳房紅腫', '乳房潰爛', '腋下淋巴腺腫大']",https://health.udn.com/disease/sole/63992
卵巢癌,"['Ovary cancer', 'Ovarial cancer']",['婦產部'],['卵巢'],"['便秘', '腹瀉', '腹部疼痛', '腹部腫脹', '噁心', '脹氣', '體重減輕', '下肢水腫', '外陰水腫', '月經失調', '陰道出血', '頻尿', '排尿困難', '腰部疼痛']",https://health.udn.com/disease/sole/63993
血友病,['Hemophilia'],['內科部'],['血液'],"['出血不止', '淤青']",https://health.udn.com/disease/sole/63996
膽結石,['Gallstones'],['內科部'],['膽'],"['腹痛', '消化不良', '腹脹', '胃痛', '反胃']",https://health.udn.com/disease/sole/269
膽囊炎,['Cholecystitis'],['內科部'],['膽'],"['腹痛', '發燒', '腹部硬塊', '食慾不振', '噁心', '嘔吐', '脹氣', '灰色便', '茶色尿', '皮膚搔癢', '心灼熱', '消化不良', '體重減輕', '背痛']",https://health.udn.com/disease/sole/270
胃炎,['Gastritis'],['內科部'],['胃'],"['上腹部疼痛', '上腹部灼熱感', '胸悶', '胃痛', '胃酸過多', '胃脹', '胃悶', '易有飢餓感', '溢酸', '打嗝', '噁心', '嘔吐', '消化不良', '食欲不振', '腹瀉', '便秘', '吐血', '黑便', '血便']",https://health.udn.com/disease/sole/279
尿失禁,['urinary incontinence'],['老年醫學部'],"['膀胱', '尿道']","['漏尿', '頻尿', '急尿', '解尿困難']",https://health.udn.com/disease/sole/207
尿路結石,['Stones in the urinary tract'],['內科部'],"['腎臟', '輸尿管', '膀胱', '尿道']","['腰痛', '腎絞痛', '腹痛', '噁心', '嘔吐', '血尿', '排尿困難', '膿尿', '發燒', '畏寒']",https://health.udn.com/disease/sole/215
勃起功能障礙,['Erectile dysfunction'],['泌尿部'],['陰莖'],"['陰莖無法勃起', '勃起硬度不足', '不射精', '早洩', '射精疼痛']",https://health.udn.com/disease/sole/217
肝炎,['Hepatitis'],['內科部'],['肝'],"['黃疸', '胃腸不適', '食慾不振', '倦怠', '全身無力', '噁心', '嘔吐', '腹部疼痛', '腹部腫脹', '腹水', '發燒', '紅疹']",https://health.udn.com/disease/sole/253
脂肪肝,['Fatty liver'],['家庭醫學部'],['肝'],"['上腹部疼痛或不適', '疲勞', '食欲不振', '腹脹', '肝臟腫大']",https://health.udn.com/disease/sole/257
肝硬化,['Liver cirrhosis'],['內科部'],['肝'],"['食慾減退', '消化不良', '噁心', '嘔吐', '疲倦', '體重減輕', '腹瀉', '腹脹', '上腹部疼痛', '黃疸', '黑便', '下肢浮腫', '男性女乳症', '睪丸萎縮', '肝脾腫大', '鼻血', '牙齦出血']",https://health.udn.com/disease/sole/258
